#Angstrom	X	Y	Z
5141	0.03737749000000	0.60234510000000	0.08828185000000
5142	0.03800814000000	0.60437370000000	0.08766595000000
5143	0.03864182000000	0.60640310000000	0.08705297000000
5144	0.03927841000000	0.60843330000000	0.08644280000000
5145	0.03991777000000	0.61046400000000	0.08583533000000
5146	0.04055978000000	0.61249540000000	0.08523049000000
5147	0.04120430000000	0.61452730000000	0.08462817000000
5148	0.04185122000000	0.61655970000000	0.08402828000000
5149	0.04250040000000	0.61859250000000	0.08343075000000
5150	0.04315171000000	0.62062560000000	0.08283548000000
5151	0.04380505000000	0.62265900000000	0.08224241000000
5152	0.04446045000000	0.62469250000000	0.08165157000000
5153	0.04511798000000	0.62672590000000	0.08106300000000
5154	0.04577771000000	0.62875900000000	0.08047674000000
5155	0.04643969000000	0.63079160000000	0.07989282000000
5156	0.04710400000000	0.63282350000000	0.07931130000000
5157	0.04777071000000	0.63485450000000	0.07873220000000
5158	0.04843987000000	0.63688430000000	0.07815556000000
5159	0.04911156000000	0.63891280000000	0.07758142000000
5160	0.04978584000000	0.64093980000000	0.07700982000000
5161	0.05046277000000	0.64296510000000	0.07644078000000
5162	0.05114242000000	0.64498830000000	0.07587434000000
5163	0.05182486000000	0.64700940000000	0.07531054000000
5164	0.05251016000000	0.64902810000000	0.07474939000000
5165	0.05319837000000	0.65104420000000	0.07419094000000
5166	0.05388957000000	0.65305740000000	0.07363521000000
5167	0.05458382000000	0.65506750000000	0.07308222000000
5168	0.05528119000000	0.65707440000000	0.07253201000000
5169	0.05598174000000	0.65907770000000	0.07198460000000
5170	0.05668554000000	0.66107720000000	0.07144001000000
5171	0.05739265000000	0.66307280000000	0.07089828000000
5172	0.05810314000000	0.66506410000000	0.07035941000000
5173	0.05881707000000	0.66705090000000	0.06982344000000
5174	0.05953451000000	0.66903310000000	0.06929039000000
5175	0.06025553000000	0.67101020000000	0.06876027000000
5176	0.06098019000000	0.67298220000000	0.06823311000000
5177	0.06170855000000	0.67494880000000	0.06770891000000
5178	0.06244068000000	0.67690970000000	0.06718772000000
5179	0.06317665000000	0.67886460000000	0.06666952000000
5180	0.06391651000000	0.68081340000000	0.06615436000000
5181	0.06466033000000	0.68275570000000	0.06564223000000
5182	0.06540819000000	0.68469130000000	0.06513316000000
5183	0.06616012000000	0.68662000000000	0.06462715000000
5184	0.06691622000000	0.68854150000000	0.06412422000000
5185	0.06767653000000	0.69045550000000	0.06362439000000
5186	0.06844112000000	0.69236180000000	0.06312766000000
5187	0.06921005000000	0.69426010000000	0.06263405000000
5188	0.06998339000000	0.69615010000000	0.06214356000000
5189	0.07076119000000	0.69803170000000	0.06165620000000
5190	0.07154352000000	0.69990440000000	0.06117199000000
5191	0.07233044000000	0.70176810000000	0.06069093000000
5192	0.07312201000000	0.70362250000000	0.06021302000000
5193	0.07391830000000	0.70546730000000	0.05973828000000
5194	0.07471935000000	0.70730220000000	0.05926670000000
5195	0.07552523000000	0.70912700000000	0.05879831000000
5196	0.07633601000000	0.71094130000000	0.05833309000000
5197	0.07715173000000	0.71274500000000	0.05787105000000
5198	0.07797246000000	0.71453770000000	0.05741220000000
5199	0.07879825000000	0.71631910000000	0.05695654000000
5200	0.07962917000000	0.71808900000000	0.05650407000000
5201	0.08046524000000	0.71984720000000	0.05605479000000
5202	0.08130644000000	0.72159360000000	0.05560868000000
5203	0.08215272000000	0.72332850000000	0.05516572000000
5204	0.08300403000000	0.72505190000000	0.05472588000000
5205	0.08386032000000	0.72676400000000	0.05428914000000
5206	0.08472153000000	0.72846490000000	0.05385548000000
5207	0.08558763000000	0.73015470000000	0.05342488000000
5208	0.08645856000000	0.73183370000000	0.05299732000000
